post_id,comment_id,author,body,created_utc,score
1c9sm7j,l0nulyr,[deleted],"A person can only take on so many hobbies only to realize that will not cure the underlying issues. I did it all as well— running, weightlifting, crocheting, writing. Hell, even medication, and that sometimes doesn’t even help. 

I’ve just accepted depression as a part of me and my life and try to enjoy the less crappy days as they come, even when they are so few. Most important is to try to anchor my mind into the present. My default is to ruminate on the past or worry about the future / neither are helpful. Anchor into the present moment, and staying consistent with therapy.

I think that’s why it’s so upsetting when people (not you, other people) infer that going to the gym is the cure all - like pls shut the fuck up. We are all just trying our best.",1713739274,166
1c9sm7j,l0o9fjv,ConfidentClaim,"As someone that has been depressed for 20 years (M30), I relate to this on a very deep level. I've done all the things you are supposed to do in order to treat and minimize depression. Exercise,  eating healthy, hobbies, build meaningful connections with friends and family, mindfulness, journaling, getting out into nature, ect. The only thing I haven't done is therapy because I've never been able to afford it. I realize my depressive thoughts and emotions are illogical and are not my own. Even though I consciously want them to stop and I want to get better, my brain doesn't currently function the way I wish it would. The brief periods where I am in control are just temporary reprieves from my baseline. I'm afraid to continue living, but I'm not sure if I'll have the courage to end it all myself. There are days ( sometimes weeks or even months) where the only thought that gives me relief is my own death. Unfortunately, at those times I'm too depressed to leave my bed and actually follow through with it.",1713745438,45
1c9sm7j,l0oh3rf,[deleted],the dark black hole in all of us - some of us just have it walled off better than others... truly.,1713748701,28
1c9sm7j,l0pj231,chairman_maoi,"Likewise, I think a lot of people bang their head against the wall re medication, falling down rabbit holes and becoming obsessed with supplements, diets, cycling from one medication to another. 

No medication will ever work 100%. You will still have bad days. The medication got me out of bed, literally, and got my brain working again, but I still fucking have depression. Accepting that made things easier for me somehow.",1713768764,12
1c9sm7j,l0qv6s1,SnooAdvice3962,"this is SO SO true! negative self talk, shame, repeating thoughts are all symptoms of depression. you cannot talk your way out of depression and they all are symptoms from the “source sadness.” its like you’re a completely different person with a different personality and brain chemistry, you can’t control it. it’s extremely relieving when you can just be sad in peace. it’s so exhausting feeling guilt, sad, mad about being sad? like just let me be sad! giving myself permission to experience any emotion or thought helped me so much. emotions and thoughts are an experience, not a doing. 

also, what you mentioned about the shaking sounds exactly like TRE! It stands for “tension and trauma releasing exercise” and when i tried it with my therapist i had to be in a certain pose, and my body started involuntarily shaking for 15-20 min to release the nervous energy built up from trauma.",1713796089,9
1c9sm7j,l0pz1xe,soft-cuddly-potato,"Oh my god, you're so much like me 💔

I was operating under the assumption I was doing something wrong, that I must try harder, I work at 2 labs, have 3 volunteer jobs, do marital arts, have friends, go to therapy, etc. 

I wanted to believe I was lazy and not doing something right and that I wasn't trying hard enough because if I really am doing my all, then it means it's just time between me and recovery, and I don't want to wait. This pain is unbearable. 

None of the cliché depression help bs works because I'm traumatised and this is the first time in my life I'm actually physically safe. My body is great at surviving but not good at living. I constantly feel the need to be in fight or flight, to be ready to fight the next big bad thing. I'm traumatised. 

I don't think my sad thoughts, I don't ruminate, I don't have negative self talk any more than an average person, if not less. I just *feel* sad and therapy isn't very good at challenging persistent long term feelings. 

I feel like I'm swimming in jelly and weights are all tied to my body. I feel like I was woken up at 3am after a long day at work to go clean up diarrhea off a floor in a far away McDonalds or something. It's all a sense of ""ugh I don't want this"" and ""ugh I'm so tired, I'm so tired, I'd rather just not do anything"". Everything I do takes up so much energy.

No amount of CBT or behavioural change or diet and sleep, or exercise changes this.",1713780767,6
1c9sm7j,l0r6ha6,[deleted],"I just realized I’m never going to be “happy” and that when I’m doing things like woodworking, fishing, hiking, working,etc it takes my mind off of the bad things.",1713800050,7
1c9sm7j,l0rbhw8,purpleunicorn1983,"Over 30 years of depression here. Tried everything too and eventually would just fall back into that hole of depression. I even tried trauma therapy and Emdr. It would only throw me into depressive episodes again. I finally caved in and tried medication. I found a medication that works and haven’t slipped back into that hole yet. I truly believe that childhood trauma and abuse of any kind, really messes with your brain. It’s trauma to your brain just like any other brain injury. Just never give up! I never thought I’d be in a good place. Yet here I am at 40 (trauma started at birth), and I can finally say I feel somewhat normal and happy. As happy as one can be with all my stressors lol.",1713801761,6
1c9sm7j,l0oyi3f,SaucyAndSweet333,What kind of trauma healing do you do?,1713756597,5
1c9sm7j,l0p9svv,Representative_Ant_9,"I’m sorry. It’s literally a pain in the ass. I have more anxiety than depression but it’s the same….. it’s so….. invasive. Like I just want to laugh without thinking about this shit 

With anxiety it’s more worrying about having anxiety and then.. I’m anxious 😭 never ending",1713762655,5
1c9sm7j,l0po2v3,Suntzu6656,I hope you all can find peace some time soon,1713772460,5
1c9sm7j,l0qvacs,SlayerOfUAC,"I've been dealing with depression for a couple decades myself (I'm 38 and it started in the single digits of my childhood). I'm trying to do all the right things too, and honestly I'm still low-key depressed every day. I always wish a car would hit me on my way to work or something would take me out. I truly hate being a part of life and the game that it is, and there's nothing I can really do about it. I work, I go to the gym, eat decently and cut out overly processed foods and desserts, maintain a sleep schedule, and yet the depression always lingers.

My point is, I get where you're coming from. Sometimes we can do all the right things and it doesn't feel like it's enough.",1713796125,4
1c9sm7j,l0poq37,Decent-Tart5694,"I can relate to what you wrote. No matter what I do, the depression still pulls me in. It's more than thoughts and brain xhemistey; it seems to be a part of me. I can only describe it as a dark emptiness.

Right now, I'm looking at secular Buddhism to see if there are any answers there. 

In any case, I'm glad meds work.",1713772956,4
1c9sm7j,l0qcj3z,Impossible-Touch9470,"Only thing that ever helped was realizing all the good and bad was just me, and that it was my responsibility to show myself love. It’s not easy a lot of the time, but I’m better at giving myself space and accepting that I don’t have to do anything great, but I can do something good.",1713788460,5
1c9sm7j,l0rmqq6,El_Cartografo,"I did TMS this last year.  It was a miracle for me.  50 years of symptoms vanished pretty much overnight.  I'm having to learn how to deal with emotions again.  I'm a 60 year old guy.  I cried all through Tortured Poets. My own memories were a little too close with some of those lyrics.

I'm not recommending. That's for your doctor.  I'm sharing my experience.

50 years of depression, two attempts.  CPTSD, 40 years.  Anxiety, started sometime in my 20s.  

Not joking.  6 weeks getting kicked in the head by the electric mule was totally worth it to me.  Meds, therapy,  SO MANY MEETINGS AND GROUPS, mindfulness, all saved my life, kept me functioning for all this time.  Keep going.  Hope isn't always visible until you're right on top of it.  Sort of like looking for corpses to loot in Skyrim, if you know what I mean.",1713805611,4
