"original_text","cleaned_tamil","valence","arousal","dominance","utterance_count","depression_type"
"In real life people don't show the sadness...and many chaps you see on internet might be unemployed","பச வாழ்க்கையில் மக்கள் சோகத்தையும் பச கோப்பைகளையும் காட்டுவதில்லை ரோ இணையத்தில் பார்க்க வேலையில்லாமல் இருக்கலாம்",5.343,4.68,5.258,1,"Situational"
"TIL I'm a dick","மான் பரு முட்டாள்",3.717,3.87,4.913,1,"Situational"
"People think normal ""sadness"" and clinical ""depression"" are the same.","சாதாரண சோகமும் மருத்துவ மனச்சோர்வும் ஒரே மாதிரியானவை ஒன்று மக்கள் நினைக்கிறார்கள்",5.176,4.451,5.038,1,"Situational"
"Sila nerangalil sila manidhargal. It is not worth worrying about others. Be assertive than aggressive. Be tactful than pretend to be tough","சூ னெறஙளிள் சூ மனிகற்அள் அணு ை ஓற்த் பற்று கவலை ஓதெற்ச் உறுதியுடன் இருங்கள் தனி aggressive சாதுரியமாக இரு தனி கடினமான இருப்பு பல் நடிக்கவும்",4.27,5.174,5.044,2,"Situational"
"Depression is really a strong word. But people say i have depression to look cool online and to gain attention. They are just actually sad that's it. Both are completely different","மனச்சோர்வு உண்மையில் பரு ச்ட்றோங் வார்த்தை மான் பார்க்க மனச்சோர்வு இருப்பதாக மக்கள் கூறுகிறார்கள் எள் ஆன்லைன் மற்றும் கடன் கவனம் தாய் உண்மையில் வருத்தமாக இருக்கிறது அவ்வளவுதான் போங் முற்றிலும் வேறுபட்டவை",4.658,4.535,4.915,2,"Situational"
"Feeling depressed is normal human emotion. Depression is the prolonged feeling of depression","ஈளிங் மனச்சோர்வு அசாதாரணமானது குமன் உணர்ச்சி மன அழுத்தம் நீடித்தது ஈளிங் மனச்சோர்வு",4.551,4.477,4.78,1,"Situational"
"Lifestyle changes. Our food","வாழ்க்கை முறை சஙெச் எங்கள் ஊக",5.338,4.45,5.364,1,"Situational"
"Depression is loss of meaning. Its when you do not want to engage in things which you thought were desirable. All of your actions seems meaningless. Your family","மனச்சோர்வு எண்பது அயன் அர்த்தத்தை இழப்பதாகும் ரோ விரும்பவில்லை எஙகெ எந்த விசயங்களில் ரோ தோஉக்ட் உங்கள் செயல்கள் அனைத்தும் விரும்பத்தக்கவை சீம்ச் அர்த்தமற்ற உங்கள் குடும்பம்",4.854,4.676,5.06,1,"Situational"
"I forget who said it but in the postmodern postindustrial world we live in it’s almost like there’s something wrong with you if you’re not depressed and/or have anxiety. Humans were not built to live like this. That’s why they say The Matrix is a documentary (read Brave New World). Alternatively it’s like Idiocracy or something where everyone’s too stupid to be depressed lmao","மான் யானை மறந்துவிட்டேன் சூ பின்நவீனத்துவ பிந்தைய தொழில்முறை உலகில் நாண் இதோ ஒன்று இருப்பதைப் போலவே வாழ்கிறோம் போங் உடன் ரோ ரோ மனச்சோர்வு நல்லது கவலையோ ை மனிதர்கள் இப்படி வாக் கட்டமைக்கப்படவில்லை தான் தாய் தீ மேட்ரிக்ச் பரு ஆவணப்படம் ஒன்று சொல்லுங்கள் அதற்கு மாற்றாக, இரு இடியோகிராசி போன்றது நல்லது எல்லோரும் மனச்சோர்வடைய முடியாத அளவுக்கு முட்டாள்கள்",5.12,4.529,5.178,6,"Situational"
"The world has become so far away for all of us to connect. There is video by Kurzgesagt. They explain that even though we live in the age of easy access to people","உலகம் ஓம் அனைவருக்கும் வெகு தொலைவில் உள்ளது ஓன்னெட் Kurzgesagt இன வீடியோ உள்ளது தாய் எப்ளைன் ஒன்று எவென் தோஉக் நாண் மக்கள் எளிதில் அணுகும் யுகத்தில் வாழ்கிறோம்",5.171,4.709,5.094,2,"Situational"
"The truth is that we now know the name for what we are experiencing. Doesn’t mean it didn’t exist before that. We can see and point our feeling. This is a good sign.","தீ ட்றுத் நாண் அனுபவிக்கிறோம் என்பதற்கான பெயர் து நமக்குத் தெரியும் மெஅன் நாண் பார்க்க மற்றும் சுட்டிக்காட்டி முடியும் ஒன்று முன்பு ை ஈளிங் இரு பரு நல்ல அறிகுறி",5.052,4.392,5.08,4,"Situational"
"Depression is common and since we’ve progressed as a society","மனச்சோர்வு எண்பது ஓம்மோன் மற்றும் நாண் பருந்து வீ பரு சமூகமாக முன்னேறியது",4.944,4.229,4.911,1,"Situational"
"Depression has now become an identity for most of the people. I used to believe that all my failures in my life was because of depression. I used to tell this to people as an excuse for not being responsible enough. When I started taking care of myself","து பெரும்பாலான மக்களுக்கு பரு அடையாளமாகிவிட்டது ஒன்று மான் நம்பினேன் பஇளுறெச் எண் வாழ்க்கையில் இருந்தது பெஅஉசே மான் ை கவனித்துக் கொள்ளத் தொடங்கியபோது, ​​மனச்சோர்வினால், போதிய பொறுப்பில்லாத காரணத்திற்காக மக்களிடம் இதைச் சொன்னேன்",4.996,4.833,5.018,4,"Situational"
"As a person who was actual heavily depressed and came out of it","உண்மையில் மிகுந்த மன உளைச்சலில் பருந்து வெளியே வந்து பரு நபராக",5.228,4.74,5.348,1,"Situational"
"My Take 1 Increase in drugs usage. 2 Usage of social media like ig","போதைப்பொருள் பயன்பாடு அதிகரிப்பு போன்ற சமூக ஊடகங்களின் பயன்பாடு",5.663,4.839,5.137,1,"Situational"
"Most people pretend to be depressed in order to get attraction / correct girls ( like remo walking in traffic scene in anniyan) But sad thing is","பெரும்பாலான மக்கள் டிராபிக் காட்சியில் டெமோ வாக்கிங் செய்வது போன்ற யான பெண்களை ஈர்ப்பதற்காக மனச்சோர்வடைந்ததாக நடிக்கிறார்கள் அன்னியன் வருத்தமாக விஷயம்",4.905,4.538,5.07,3,"Situational"
"I was depressed for the most part cuz","மான் பெரும்பாலும் மன உளைச்சலில் இருந்தேன்",5.094,4.55,4.9,1,"Situational"
"I think this is a phenomenon prevalent and rising all over the world. Changing times are giving rise to changing cultures (economic and social) and the pressures to adapt to them. It is a mixture of latent depression coming to light (through social media) and the newer developments of it due to these pressures which also can be attributed to the value comparisons that ensue of one's own life to others in terms of fulfillment. The addictive characteristic intrinsic in the design of social media leads to escapism and further reinforces the value comparison","இரு உலகம் முழுவதும் பாவி வரம் மற்றும் அதிகரித்து வரம் பரு நிகழ்வு ஒன்று மான் நினைக்கிறேன், மாறிவரும் காயங்கள் பொருளாதார மற்றும் சமூக கலாச்சாரங்களை மாற்றுவதற்கும், மாற்றியமைக்க வேண்டிய அழுத்தங்களுக்கும் வழிவகுக்கிறது. தரம் இரு வெளிச்சத்திற்கு வரம் மறைந்த மனச்சோர்வின் கலவையாகும் த்றோஉக் சமூக ஊடகங்கள் மற்றும் இந்த அழுத்தங்களின் காரணமாக அயன் புதிய வளர்ச்சிகள் ஒருவரின் சொந்த வாழ்க்கையின் மதிப்பு ஒப்பீடுகளுக்கும் காரணமாக இருக்கலாம். ஓதெற்ச் பூர்த்தியின் அடிப்படையில் சமூக ஊக வடிவமைப்பில் உள்ளார்ந்த அடிமைத்தனமான பண்பு தப்பிக்கும் மற்றும் உற்தெற் மதிப்பு ஒப்பீட்டு வலுப்படுத்துகிறது",5.146,4.785,5.041,6,"Situational"
