"original_text","cleaned_tamil","valence","arousal","dominance","utterance_count","depression_type"
"20 varushama depression (M30), idhu deep-a connect aagudhu. Depression treat pannuradhu konjam pannuradhu-nu exercise, nalla sappadu, hobbies, friends & family-oda nalla bond, mindfulness, journal ezhudhuradhu, nature-la irukkaradhu seynjen. Therapy mattum seyyala, kaasu illa. En depressive thoughts logic illadhadhu, ennodadhu illa-nu puriyudhu. Stop pannanumnu aasa, but brain work pannala. Control-la irukkura konjam time temporary dhaan. Vaazha bayam, aana end pannuradhu thairiyam illa. Sila naal, weeks, maasam kooda, maranam pathi ninaikkuradhu dhaan relief. Aana appo bed-la irundhu move pannala.","வருசமா மனச்சோர்வு M30 இரு டப் ஊக ஓன்னெட் ஆகுது மனச்சோர்வு சிகிச்சை பன்னுறது கோபம் பன்னுறது டு உடற்பயிற்சி நல்ல சப்படு பொழுதுபோக்கு நண்பர்கள் குடும்பம் ஊக நல்ல பிணைப்பு நினைவாற்றல் இதழ் எழுதுறது இயற்கை லே இறுக்கறது சேய்ஞ்என் தெறப்ய் ஒட்டும் சேய்யள கொசு நல்ல எண் மனச்சோர்வு தோஉக்ட்ச் தர்க்கம் ோஅது நல்ல டு புறியுது நிறுத்து பண்ணனும்னு பச பைன் வேலை பண்ணை கட்டுப்பாடு லே இறுக்கு கோபம் தற்காலிக நேரம் தார் வாழ பயம் இன முடிவு பன்னுறது தைரியம் நல்ல சூ வாள் பச மாதம் கூ மனம் பசி னினைக்குறது தார் நிவாரணம் இன அப்பா படுக்கை லே இறுன்து நகர்த்த பண்ணை",5.027,4.351,5.141,5,"Situational"
"Ellarukum irukkura kaar iruttu kuzhi—sila aalunga adha nalla wall pannirukkanga, adhu dhaan.","எல்லறுகும் இறுக்கு கால் இறுட்டு குழி சூ ஆளுங ஊக நல்ல அள்ள் பன்னிறுக்கங அணு தார்",4.419,4.866,5.168,1,"Situational"
"Medicine pathi thalaya wall-la kotturadhu, supplements, diet, oru med to vera med cycle pannuradhu waste. No med full-a work pannadhu. Bad days irukkum. Med enna bed-la irundhu ezhuppichu, brain work pannichu, aana depression irukku. Adha othukittadhu somehow easy aachu.","மருந்து பசி தீய அள்ள் லே கோட்டுறது கூடுதல் உணவு ஓடு மருந்து வெறி மெட் சுழற்சி பன்னுறது கழிவு மருந்து ை உள்ள் பரு வேலை பண்ணது மோசமான நாட்கள் அறுக்கும் மருத்துவம் படுக்கை லே இறுன்து எழுப்பிசு பைன் வேலை பன்னிசு இன மன அழுத்தம் இறுக்கு ஊக ஓதுகிட்டது எப்படியோ எளிது ஆடு",4.714,4.349,5.136,3,"Situational"
"Idhu nijam! Negative self-talk, shame, repeat ninaivugal—ellam depression symptoms. Depression-a pesi theerkka mudiyadhu. Source sadness-la irundhu varudhu. Vera manushana, vera personality, brain chemistry-oda irukkura maadhiri. Just sad-a irukkura relief, guilt, mad, sad pathi sad-a irancora irukkuradhu. Sad-a irukkanumnu permission kuduthadhu help pannudhu. Emotions, thoughts experience dhaan, pannuradhu illa. 

Shaking pathi sonnadhu TRE maadhiri! Tension and Trauma Releasing Exercise. Therapist-oda try pannapo, body 15-20 min shake pannuchu, trauma-la irundhu nervous energy release pannuchu.","இரு னிசம் எதிர்மறையான சுய பேச்சு அவமானம் மீண்டும் னினைவுஅள் எல்ம் மனச்சோர்வு அறிகுறிகள் மனச்சோர்வு a பசி தீர்க்க முடியது மூல சோகம் லே இறுன்து வறுது வெறி மனுசனா வெறி ஆளுமை பைன் வேதியியல் ஊக இறுக்கு மாதிரி வெறும் வருத்தம் ஊக இறுக்கு நிவாரண குற்றம் பைத்தியம் சோகம் பசி வருத்தம் ஊக இறன்ஓற இறுக்குறது வருத்தம் ஊக இறுக்கனும்னு அனுமதி குடுதது உதவி பன்னுது உணர்ச்சிகள் தோஉக்ட்ச் அனுபவம் தார் பன்னுறது நல்ல குலுக்கல் பசி சோண்ணது TRE மாதிரி பதற்றம் மற்றும் ட்ரஉம ரிலீசிங் உடற்பயிற்சி தெறபிச்ட் ஊக முயற்சி பண்ணபோ உடல் நிமிட குலுக்கல் பன்னுசு ட்ரஉம லே இறுன்து நரம்பு ஆற்றல் வெளியீடு",4.855,4.576,5.054,4,"Situational"
"Oh god, neenga ennoda maadhiri 💔

Naan thappu pannuren-nu nenachen, hard try pannanum-nu. 2 labs-la velai, 3 volunteer velai, martial arts, friends, therapy—ellam pannuren. 

Lazy-nu, try pannala-nu nambanumnu nenachen, coz full effort panniyum recovery time dhaan-nu puriyudhu, wait pannuradhu unbearable pain. Cliché depression help pannadhu, coz naan traumatised. First time vaazhkaila safe-a irukken. Body surviving-la super, aana living-la good illa. Constant fight or flight mode, next big bad thing-uku ready-a irukkanum. Traumatised.

Sad thoughts, rumination, negative self-talk average person kooda illa, aana sad-a feel pannuren. Therapy long-term feelings-a challenge pannuradhu good illa.

Jelly-la swim pannura maadhiri, weights body-la katti irukkura maadhiri feel. 3am-la velai pannitu diarrhea cleanup pannura maadhiri tired, ugh idhu venda, romba tired, edhuvum pannanumna feel. Ellam energy suck pannudhu.

CBT, behaviour change, diet, sleep, exercise—edhuvum maathala.","கடவுளே நீங்க ோஅ மாதிரி மான் உப்பு பன்னுறென் டு னெனசென் கடினமான முயற்சி பண்ணனும் டு ஆய்வகங்கள் லே வெளை வோளுன்டீற் வெளை தற்காப்பு கலை நண்பர்கள் தெறப்ய் எல்ம் பன்னுறென் சோம்பேறி டு முயற்சி பண்ணை டு நம்பணும்னு னெனசென் coz உள்ள் முயற்சி பன்னியும் மீட்பு நேரம் தார் டு புறியுது அஇட் பன்னுறது தாங் முடியாத பைன் கிளிப் மனச்சோர்வு உதவுகிறது பண்ணது coz மான் முதல் முறையான அதிர்ச்சியடைந்தார் வாழ்கஇள பாதுகாப்பான ஊக இறுக்கென் உடல் உயிர் லே சூப்பர் இன வாழும் லே நல்லது நல்ல நிலையான சண்டை நல்லது விமானம் பயன்முறை அடுத்த பெரிய மோசமான விஷயம் ஊக தயார் a இறுக்கனும் அதிர்ச்சியடைந்த சோகம் தோஉக்ட்ச் rumination எதிர்மறை சுய பேச்சு சரா நபர் கூ நல்ல இன வருத்தம் ஊக எள் பன்னுறென் தெறப்ய் போங் கால ஈளிங்ச் ஊக சள்ளெஙெ பன்னுறது நல்லது நல்ல சல்லி லே நீந்த பன்னுற மாதிரி எடை உடல் லே கட்டி இறுக்கு மாதிரி எள் ஓம் லே வெளை பன்னிடு டிஏஆர்ஆர்கெஅ சத்தம் பன்னுற மாதிரி சோர்வாக ஆக இரு வென்ட் றோம்ப சோர்வு edhuvum பண்ணனும்ன எள் எல்ம் ஆற்றல் உறிஞ்சும் பன்னுது CBT நடத்தை சூ உணவுமுறை ச்ளீப் உடற்பயிற்சி edhuvum மாதள",5.006,4.523,5.246,9,"Stable/Neutral"
"Naan happy aavuradhu illa-nu purinjiten. Woodworking, fishing, hiking, velai pannum podhu manasu bad things-la irundhu distract aagudhu.","மான் மகிழ்ச்சி ஆவுறது நல்ல டு புறிஞிடென் ஊஓற்கிங் மீன்பிடி நடைபயணம் வெளை பன்னும் போடு மனு கெட்ட விசயங்கள் லே இறுன்து திசைதிருப்ப ஆகுது",5.047,4.566,5.286,1,"Situational"
"30 varusham depression. Ellam try pannitu depression kuzhila vizhunden. Trauma therapy, EMDR try panninen, aana depressive episodes vandhuchu. Finally med try panninen, adhu work pannudhu, kuzhila vizhala. Childhood trauma, abuse brain-a mess pannudhu. Brain injury maadhiri. Never give up! 40 vayasula (trauma birth-la irundhu), normal-a, happy-a feel pannuren. Stress irundhaalum happy.","வறுசம் மன அழுத்தம் எல்ம் முயற்சி பன்னிடு மன அழுத்தம் குழி விழுன்டென் ட்ரஉம தெறப்ய் EMDR முயற்சி பன்னினென் இன மனச்சோர்வு அத்தியாயங்கள் வன்துசு இறுதியாக மெட் முயற்சி பன்னினென் அணு வேலை பன்னுது குழி விழா சிள்தூ ட்ரஉம முறைகேடு பைன் பரு குழப்பம் பன்னுது பைன் இஞுற்ய் மாதிரி ஒருபோதும் கைவிடாதீர்கள் வயசுள ட்ரஉம பிற்த் லே இறுன்து சாதாரண மற்றும் மகிழ்ச்சி பரு எள் பன்னுறென் மன அழுத்தம் இறுன்தாளும் மகிழ்ச்சி",4.917,4.684,5.064,3,"Situational"
"Trauma healing enna pannureenga?","ட்ரஉம குணப்படுத்துதல்",6.315,4.335,5.605,1,"Situational"
"Sorry, depression vida anxiety jaasthi, aana same… invasive. Sirichu enjoy pannanumnu ninaikkuren, aana anxiety pathi kavalai, then anxious 😭 end illa.","மன்னிக்கவும் மனச்சோர்வு வீ கவலை சாச்தி இன அபே ஆக்கிரமிப்பு சிறிசு எஞோய் பண்ணனும்னு னினைக்குறென் இன கவலை பசி களை பின்னர் கவலையான முடிவு நல்ல",4.385,4.532,4.769,1,"Situational"
"Ellarukum seekram peace kedaikkum-nu namburen.","எல்லறுகும் சீக்ரம் அமைதி கிடைக்கும் டு னம்புறென்",5.018,4.242,5.183,1,"Situational"
